                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                   1.13,                 1.0517,                 1.3611,                0.60877,                0.47286,                0.48115,                0.23163,                 1.9138,                 1.6856,                 2.2214,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.1201,                 1.0525,                 1.3614,                0.59687,                  0.505,                0.50353,                0.23466,                 1.9349,                 1.6617,                 2.2469,               0.007723,               0.007723,               0.007723
                    117,                 1.1122,                 1.0538,                 1.3524,                0.59488,                0.47602,                0.48705,                0.22436,                 1.9401,                 1.6841,                 2.2389,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.1222,                 1.0624,                 1.3638,                0.58609,                0.48955,                 0.5019,                0.23218,                 1.9373,                 1.6628,                 2.2514,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.1208,                 1.0389,                 1.3567,                0.59941,                0.48732,                0.49274,                0.22918,                 1.9087,                 1.6692,                 2.2185,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.1061,                 1.0243,                 1.3496,                0.58543,                0.50296,                0.49748,                0.22881,                 1.9399,                 1.6864,                 2.2492,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.0885,                 1.0358,                 1.3463,                0.62463,                0.49535,                0.50197,                0.23066,                 1.9363,                 1.6477,                 2.2454,               0.007624,               0.007624,               0.007624
                    122,                 1.1081,                 1.0301,                 1.3458,                0.62371,                0.48859,                0.50354,                0.23651,                 1.9139,                 1.6736,                 2.2227,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.0872,                 1.0235,                 1.3349,                0.62389,                0.47253,                 0.4912,                0.22941,                 1.9291,                 1.6892,                 2.2397,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.0902,                 1.0157,                 1.3231,                0.60485,                0.48943,                0.49145,                0.23105,                 1.9232,                 1.6529,                 2.2388,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.0826,                 1.0059,                 1.3317,                0.61963,                0.47506,                0.49788,                0.23396,                 1.9179,                 1.6764,                 2.2348,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.0896,                  1.016,                 1.3424,                0.58233,                0.47909,                0.48359,                0.22485,                 1.9191,                 1.6982,                 2.2372,               0.007525,               0.007525,               0.007525
                    127,                 1.0719,                0.99015,                 1.3225,                0.60454,                0.50211,                0.49316,                   0.23,                 1.9342,                 1.6853,                 2.2574,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.0902,                 1.0122,                  1.331,                0.58451,                0.49831,                0.48483,                0.22449,                 1.9238,                 1.6936,                   2.23,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.0815,                 1.0042,                 1.3237,                0.59758,                0.49112,                0.48316,                0.22668,                 1.9235,                  1.668,                 2.2303,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.0755,                 0.9817,                  1.318,                 0.6557,                0.46957,                0.49668,                0.23838,                 1.9094,                 1.6433,                 2.2265,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.0595,                0.97793,                 1.3195,                0.63116,                0.48774,                0.50488,                0.24043,                 1.9087,                  1.657,                 2.2215,               0.007426,               0.007426,               0.007426
                    132,                  1.053,                0.97525,                 1.3034,                0.60804,                0.49281,                0.50528,                0.24379,                 1.8807,                 1.6429,                 2.1893,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.0703,                0.99301,                 1.3181,                0.62371,                0.48436,                0.50658,                0.23859,                 1.9173,                 1.6544,                 2.2191,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.0573,                0.96905,                 1.3093,                0.63514,                0.47549,                0.50311,                0.24003,                 1.9126,                 1.6619,                 2.2162,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.0577,                0.96341,                  1.308,                0.63923,                0.47778,                0.50141,                0.24066,                 1.9185,                 1.6577,                 2.2468,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.0585,                0.97559,                 1.3087,                0.61346,                0.47887,                0.48899,                0.23105,                 1.9275,                 1.6571,                 2.2509,               0.007327,               0.007327,               0.007327
                    137,                 1.0443,                0.97389,                 1.3034,                0.62275,                0.46607,                0.48863,                0.23169,                 1.9181,                 1.6671,                 2.2324,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.0626,                0.96751,                 1.3152,                0.62112,                0.48732,                0.49884,                0.23534,                 1.9345,                 1.6554,                 2.2591,              0.0072874,              0.0072874,              0.0072874
                    139,                  1.041,                0.96311,                  1.292,                0.58657,                0.50507,                0.50004,                0.23533,                 1.9254,                 1.6609,                 2.2471,              0.0072676,              0.0072676,              0.0072676
